gene_id,C_t1_1,LPS_t1_1,C_t1_2,LPS_t1_2,C_t1_3,LPS_t1_3,C_t1_4,LPS_t1_4,control,lps,FDR,AveExpr,P value,C_t1_1 CPM,C_t1_2 CPM,C_t1_3 CPM,C_t1_4 CPM,LPS_t1_1 CPM,LPS_t1_2 CPM,LPS_t1_3 CPM,LPS_t1_4 CPM
ENSMUSG00000026536,2307,35202,2161,33955,1998,36737,2787,34668,0,4.65221421113127,1.58934940616579e-11,7.47477001924101,1.81275309795815e-14,47.423,47.594,34.571,43.811,757.876,680.007,760.602,747.361
ENSMUSG00000075010,371,40292,372,33752,378,41241,298,41692,0,7.53667762731704,1.73487180903284e-11,6.20275126494596,2.10293583215065e-14,7.626,8.193,6.541,4.684,867.461,675.942,853.853,898.782
ENSMUSG00000022906,1003,11812,846,14755,1040,13821,1469,12308,0,4.33112611554715,1.73487180903284e-11,6.212133307215,2.13702900879998e-14,20.618,18.632,17.995,23.092,254.305,295.494,286.150,265.332
ENSMUSG00000020134,2425,23057,2250,24064,2868,24764,3649,20654,0,3.78262984180693,1.83325369848926e-11,7.30188756422028,2.34185426149456e-14,49.848,49.554,49.625,57.361,496.402,481.923,512.714,445.252
ENSMUSG00000024401,7783,117256,7165,113978,6475,104977,11986,103808,0,4.47301909874654,2.09709489837572e-11,9.20770856664888,2.9659173251356e-14,159.987,157.803,112.036,188.416,2524.446,2282.606,2173.443,2237.858
ENSMUSG00000054203,256,49913,308,51094,137,53059,237,57297,0,8.62320218052544,2.09709489837572e-11,6.09428283377386,2.88319013798748e-14,5.262,6.783,2.371,3.726,1074.595,1023.245,1098.533,1235.189
ENSMUSG00000031712,310,20918,331,23993,411,27651,318,25619,0,6.89919992447664,2.09709489837572e-11,5.8364754885879,2.83866837750157e-14,6.372,7.290,7.112,4.999,450.351,480.501,572.486,552.286
ENSMUSG00000043263,1067,40603,764,51447,579,47995,1105,49262,0,6.51328690762547,2.66886677221587e-11,6.97052542258607,3.89633362429434e-14,21.933,16.826,10.018,17.370,874.156,1030.315,993.688,1061.973
ENSMUSG00000039997,1631,36807,1764,42022,1626,43273,3221,34718,0,5.01911159454407,3.33826551777949e-11,7.440877159666,5.17820281967711e-14,33.527,38.851,28.135,50.633,792.431,841.563,895.924,748.439
ENSMUSG00000039232,616,10415,652,14288,667,13262,801,11117,0,4.88136070872207,3.33826551777949e-11,5.83366421929853,5.16864600070045e-14,12.662,14.360,11.541,12.591,224.228,286.142,274.576,239.657
ENSMUSG00000039531,913,7933,718,8676,915,8522,1154,8278,0,3.90730124820351,3.35284194612917e-11,5.77276828577224,5.35377837102609e-14,18.768,15.813,15.832,18.140,170.792,173.752,176.439,178.454
ENSMUSG00000002307,1937,25752,1935,37791,2488,32434,3194,31091,0,4.46411733032216,3.44102965141552e-11,7.40828726189701,5.80857233917488e-14,39.817,42.617,43.050,50.209,554.424,756.830,671.513,670.249
ENSMUSG00000029780,1266,22130,1073,23019,1463,27287,1368,25776,0,4.96992315270869,3.44102965141552e-11,6.79501023221036,5.7381511239692e-14,26.024,23.632,25.314,21.504,476.445,460.995,564.950,555.670
ENSMUSG00000030156,88,40416,90,33349,40,40218,92,43453,0,9.78992048202685,4.86907226286212e-11,5.07589902520308,8.66343438348568e-14,1.809,1.982,0.692,1.446,870.130,667.871,832.673,936.745
ENSMUSG00000069874,429,12817,273,17617,470,15951,762,13826,0,5.73324663042349,4.86907226286212e-11,5.6874220137516,8.5407843483133e-14,8.819,6.013,8.132,11.978,275.942,352.811,330.249,298.056
ENSMUSG00000045312,21003,632,21443,623,25516,404,28089,403,0,-4.84388526785288,5.47646415108294e-11,6.10084848103716,1.02438537430722e-13,431.737,472.264,441.501,441.549,13.607,12.477,8.364,8.688
ENSMUSG00000057596,694,7258,544,8754,608,8716,826,8183,0,4.35210188181547,5.47646415108294e-11,5.52695281277695,1.0155780764354e-13,14.266,11.981,10.520,12.984,156.260,175.314,180.456,176.406
ENSMUSG00000035692,1105,92499,679,96017,616,101755,558,120127,0,7.90499578116656,6.29633087411454e-11,7.40087801049749,1.20727812934208e-13,22.714,14.954,10.659,8.772,1991.444,1922.906,2106.734,2589.657
ENSMUSG00000034957,27038,942,29029,1157,36845,878,34540,925,0,-4.31029814878941,6.29633087411454e-11,6.77762666240559,1.32137059267881e-13,555.793,639.339,637.526,542.956,20.281,23.171,18.178,19.941
ENSMUSG00000030107,392,19929,188,24984,212,24745,306,28498,0,7.25326409272304,6.29633087411454e-11,5.64857387624751,1.27589042809814e-13,8.058,4.141,3.668,4.810,429.059,500.348,512.320,614.350
ENSMUSG00000051495,12586,422,11615,335,13417,272,18656,368,0,-4.61068582981911,6.29633087411454e-11,5.43611256224493,1.29681217972409e-13,258.718,255.810,232.153,293.266,9.085,6.709,5.631,7.933
ENSMUSG00000035678,554,12563,399,11770,450,10595,619,7802,0,5.11699699523742,6.29633087411454e-11,5.50323516177461,1.28448449972372e-13,11.388,8.788,7.786,9.730,270.473,235.715,219.359,168.193
ENSMUSG00000040253,203,5333,153,7116,147,6575,238,5399,0,5.77527745985057,6.44997591353413e-11,4.37880363074451,1.38304150707653e-13,4.173,3.370,2.544,3.741,114.816,142.510,136.129,116.390
ENSMUSG00000021281,15649,153255,15031,206912,14142,182615,24275,153409,0,4.07000268302953,6.91530028191652e-11,10.0614913058653,1.57746710203853e-13,321.681,331.045,244.698,381.594,3299.482,4143.769,3780.859,3307.139
ENSMUSG00000036067,533,12795,433,19191,579,19022,910,17556,0,5.54162392215855,6.91530028191652e-11,5.96909961805112,1.54910202521294e-13,10.956,9.536,10.018,14.305,275.468,384.333,393.831,378.466
ENSMUSG00000030966,509,8088,448,11249,701,9996,911,9263,0,4.65606337457643,6.91530028191652e-11,5.59122474923169,1.54019479482626e-13,10.463,9.867,12.129,14.321,174.129,225.281,206.957,199.689
ENSMUSG00000082292,143,13276,128,20004,148,19238,293,19503,0,7.41267683875593,6.91869984831798e-11,5.09844552615433,1.60980743767607e-13,2.940,2.819,2.561,4.606,285.824,400.615,398.303,420.439
ENSMUSG00000062488,121,15055,111,23015,77,18601,208,20901,0,8.00357772875606,7.68669423443172e-11,4.91827879369544,1.8235690505518e-13,2.487,2.445,1.332,3.270,324.124,460.915,385.115,450.577
ENSMUSG00000027514,1223,14266,915,17323,895,15966,1191,17416,0,4.67407373610316,8.00421116590747e-11,6.34872001794227,1.95312706483943e-13,25.140,20.152,15.486,18.722,307.138,346.923,330.560,375.448
ENSMUSG00000059588,1188,8095,1092,8829,1447,8684,1635,7397,0,3.35068134170487,8.00421116590747e-11,6.03112445983111,1.97193030229027e-13,24.421,24.050,25.037,25.702,174.280,176.816,179.793,159.462
ENSMUSG00000063268,1333,7473,1087,8058,1409,7182,1694,7090,0,3.1620910912892,8.65053377432134e-11,5.97986725476236,2.17062529124355e-13,27.401,23.940,24.380,26.629,160.889,161.375,148.696,152.844
ENSMUSG00000018899,4009,66139,3762,78533,2647,71121,4142,63376,0,4.99565652400794,8.77190506427199e-11,8.28937570397302,2.24109988411529e-13,82.409,82.855,45.801,65.111,1423.930,1572.759,1472.488,1366.238
ENSMUSG00000002699,3400,21855,3206,26155,3780,24354,5587,21586,0,3.30001820325034,8.80747237077798e-11,7.56358249743725,2.29036874462496e-13,69.890,70.609,65.405,87.826,470.524,523.799,504.225,465.344
ENSMUSG00000099974,497,17512,435,16352,665,24144,639,22136,0,5.88107076307472,8.815794536404e-11,6.03109539176324,2.33275278576318e-13,10.216,9.580,11.506,10.045,377.022,327.477,499.877,477.200
ENSMUSG00000016529,222,12459,244,14836,291,13020,199,16863,0,6.65022344323342,8.85741311347887e-11,5.18357539029148,2.38417525295522e-13,4.563,5.374,5.035,3.128,268.234,297.116,269.566,363.527
ENSMUSG00000032265,1138,8055,935,7143,1170,7445,1476,7054,0,3.38439097978575,8.91134210562969e-11,5.86322010362006,2.43934726190876e-13,23.393,20.593,20.244,23.202,173.419,143.051,154.141,152.068
ENSMUSG00000047945,19756,150252,19787,143054,19364,147050,25068,159028,0,3.55741558828129,8.98318556686063e-11,10.1128609475118,2.49999689574569e-13,406.104,435.792,335.054,394.060,3234.829,2864.903,3044.522,3428.272
ENSMUSG00000031639,360,3979,247,3878,322,3921,359,3905,0,4.3421723343314,1.01626735377939e-10,4.46924975640649,2.87460997008632e-13,7.400,5.440,5.572,5.643,85.665,77.664,81.180,84.183
ENSMUSG00000030921,2473,19339,2037,24741,2289,23035,3800,22985,0,3.83585216158602,1.0672427678807e-10,7.23366843012748,3.0674891362053e-13,50.835,44.863,39.606,59.735,416.356,495.481,476.916,495.503
ENSMUSG00000035208,930,20038,1056,33552,1060,28182,1902,24806,0,5.17256931539431,1.1650670509676e-10,6.78680371611555,3.45496410935234e-13,19.117,23.257,18.341,29.899,431.405,671.937,583.480,534.759
ENSMUSG00000026875,325,6328,290,8157,274,8125,555,7637,0,5.14438459933714,1.1650670509676e-10,4.99920212516806,3.43124272931644e-13,6.681,6.387,4.741,8.724,136.238,163.358,168.220,164.636
ENSMUSG00000017144,688,8400,499,11924,614,10611,1077,9155,0,4.55013478967415,1.18862941877416e-10,5.69722228112577,3.57906572558486e-13,14.143,10.990,10.624,16.930,180.847,238.799,219.690,197.360
ENSMUSG00000033355,2540,25021,1817,31042,2033,31663,2231,29513,0,4.4887841807004,1.26357729262247e-10,7.29029508321664,3.90793449747881e-13,52.212,40.018,35.177,35.071,538.686,621.669,655.550,636.231
ENSMUSG00000043415,551,3818,542,4156,615,3581,750,3765,0,3.3672918070816,1.26357729262247e-10,4.91883200885055,3.92003539843641e-13,11.326,11.937,10.641,11.790,82.199,83.231,74.141,81.165
ENSMUSG00000037321,1782,18660,1365,26818,1299,22992,2077,24681,0,4.56577907083106,1.34824309290519e-10,6.91195642047927,4.2442070080961e-13,36.631,30.063,22.476,32.650,401.738,537.077,476.026,532.065
ENSMUSG00000041135,1507,10242,1277,11692,1325,11937,1651,10699,0,3.67502021813118,1.35000662555984e-10,6.30508695284453,4.3113492307673e-13,30.978,28.125,22.926,25.953,220.504,234.152,247.144,230.645
ENSMUSG00000024014,3717,28266,2966,31592,3133,31526,5583,31658,0,3.75564280384302,1.35338662483251e-10,7.72769722592165,4.54380912474911e-13,76.407,65.324,54.210,87.763,608.549,632.684,652.714,682.472
ENSMUSG00000038507,2056,13043,1752,16055,1965,15446,2825,15869,0,3.54464385660627,1.35338662483251e-10,6.80433107670473,4.47084157729423e-13,42.263,38.586,34.000,44.408,280.807,321.529,319.794,342.099
ENSMUSG00000054072,22,13053,33,17984,21,16826,47,17802,0,9.81351021223306,1.35338662483251e-10,3.78207955929702,4.56912314601971e-13,0.452,0.727,0.363,0.739,281.023,360.161,348.365,383.769
ENSMUSG00000024079,1396,8946,1080,10687,1192,10164,1870,9086,0,3.55218484689903,1.35338662483251e-10,6.16541108714897,4.44524694211418e-13,28.696,23.786,20.625,29.396,192.602,214.026,210.435,195.873
ENSMUSG00000018930,11698,442512,13398,335749,9363,389054,9877,373362,0,5.84472524028121,1.36864135384637e-10,10.3270644345631,4.68306499103414e-13,240.464,295.079,162.007,155.263,9526.999,6723.952,8054.970,8048.811
ENSMUSG00000029379,72,3727,52,3620,60,4367,88,4007,0,6.57975932677796,1.40809758769441e-10,3.34567333240141,4.88231290956592e-13,1.480,1.145,1.038,1.383,80.240,72.497,90.414,86.382
ENSMUSG00000027368,1767,16224,2128,19126,1797,15212,2649,16930,0,3.74767096875944,1.42318950604994e-10,6.86419915204491,4.99957078178045e-13,36.322,46.867,31.093,41.641,349.292,383.031,314.949,364.971
ENSMUSG00000027639,9175,46532,7800,58261,9088,53595,10591,52920,0,3.24583734799335,1.51092184112447e-10,8.7610819960806,5.58349692646025e-13,188.601,171.788,157.249,166.487,1001.804,1166.777,1109.630,1140.831
ENSMUSG00000073489,6894,47110,6794,51188,7221,52235,7548,48800,0,3.52436954055975,1.51092184112447e-10,8.54172525206886,5.51657858456569e-13,141.713,149.632,124.944,118.652,1014.248,1025.128,1081.473,1052.014
ENSMUSG00000035356,1197,13806,909,17984,929,17912,1739,13057,0,4.46295818482929,1.51092184112447e-10,6.38825287497583,5.50580675568349e-13,24.606,20.020,16.074,27.336,297.234,360.161,370.850,281.478
ENSMUSG00000070031,1012,12090,1185,17536,1402,15751,1622,16336,0,4.286286300728,1.51092184112447e-10,6.45614562134925,5.40306070267948e-13,20.803,26.099,24.259,25.497,260.290,351.189,326.109,352.166
ENSMUSG00000033538,1352,9025,1396,11070,1433,10716,1712,9879,0,3.50737596274343,1.66565984401671e-10,6.25574227442283,6.23131106388841e-13,27.792,30.746,24.795,26.912,194.302,221.696,221.864,212.968
ENSMUSG00000022126,823,109415,755,166551,533,174104,2251,154137,0,8.01698593303836,1.68378468555345e-10,7.86364567101842,6.37593543961569e-13,16.918,16.628,9.222,35.385,2355.635,3335.470,3604.647,3322.833
ENSMUSG00000024472,1719,8415,1452,9513,1716,8597,2079,7490,0,3.01007163170294,1.73473283625461e-10,6.2440288908013,6.64800210983109e-13,35.336,31.979,29.692,32.681,181.170,190.514,177.992,161.467
ENSMUSG00000027398,43,37003,54,45210,57,62959,108,58718,0,10.3421374532304,1.81754368093413e-10,5.12241200338384,7.04827833748807e-13,0.884,1.189,0.986,1.698,796.651,905.408,1303.502,1265.823
ENSMUSG00000054855,201,14326,109,22459,85,22362,164,19571,0,7.91772644907255,1.82927074749722e-10,4.98920441452844,7.17721083465307e-13,4.132,2.401,1.471,2.578,308.430,449.780,462.983,421.905
ENSMUSG00000034422,2299,36485,1892,68190,2119,51379,3816,40810,0,5.00535650182958,1.85820657892488e-10,7.73954001701882,7.37551769544527e-13,47.258,41.670,36.665,59.986,785.499,1365.622,1063.750,879.768
ENSMUSG00000000275,6635,30633,5397,36027,6431,30324,9820,31931,0,2.93388952873759,2.07964617962908e-10,8.20435330552958,8.54197155938351e-13,136.389,118.864,111.275,154.367,659.509,721.503,627.828,688.358
ENSMUSG00000044162,4474,27515,4601,33985,4494,30464,7375,29836,0,3.28394080824918,2.07964617962908e-10,7.94697608893147,8.6315514519661e-13,91.967,101.333,77.759,115.932,592.380,680.608,630.726,643.194
ENSMUSG00000032089,4186,17375,3636,20412,4618,18221,5987,16454,0,2.70861815960434,2.07964617962908e-10,7.48500123383808,8.72884020830672e-13,86.047,80.080,79.905,94.113,374.073,408.785,377.247,354.710
ENSMUSG00000017830,1435,7706,1142,10047,1285,8529,1692,8671,0,3.3782525915292,2.07964617962908e-10,6.0978511282207,8.70442769785342e-13,29.498,25.152,22.234,26.598,165.905,201.208,176.584,186.926
ENSMUSG00000028680,10820,377,10489,451,9744,293,14216,359,0,-4.21694978355904,2.07964617962908e-10,5.32593590658108,8.72559302709142e-13,222.416,231.011,168.600,223.470,8.117,9.032,6.066,7.739
